,encounter,elo
5e045da4b63f95603705b95f,2286,807.1288581568607
5e1cae63b63f9560371f5084,2285,6.375883264509179
5e1c3595b63f9560371ebeb4,2291,581.7168419564761
5e063cceb63f9560370778aa,2278,426.525572388269
5de9b96bcc9ede7610d9be38,2269,1189.8527813244261
5df1bb9dcc9ede7610e12ba0,2300,1059.29616772795
5c4091ef34299b1d1ec94ccf,1793,1317.635942389678
5e19aec4b63f9560371be34b,2303,1340.1182949194902
5c2af777bcf3f64c76ebc507,1644,1020.821354928634
5c4161c834299b1d1ec9e635,1695,1242.5659415160837
5dff0390cc9ede7610ee1eb1,2292,1157.2293657858058
5c3c13f234299b1d1ec625ac,1657,1083.901359364366
5def60b0cc9ede7610deed53,2287,1091.4758710894196
5df74f6bcc9ede7610e68461,2289,1057.4154244151403
5dfdc45fcc9ede7610ecdf4a,2296,1192.7044811151877
5c20cf99bcf3f64c76e4392f,1729,1291.2885781552873
5e00cbebb63f95603701fe3f,2283,1122.6172440913126
5c277411bcf3f64c76e997fe,1758,1110.8109817067705
5fcce2b597190c3037b50140,1554,647.163738072152
5c40275334299b1d1ec8e747,1694,606.4011324087852
5c250893bcf3f64c76e7b6d8,1765,1290.2140535523574
5e13116cb63f95603714f745,2292,511.9415423608709
5e0c5bc2b63f9560370d9259,2271,670.1420319587505
5e03241ab63f956037045474,2293,241.95388831209286
5df991c5cc9ede7610e8bb5e,2287,719.5759696386348
5fec88e5d9383f7579ae321f,3979,998.1550985382955
5e1d892db63f95603720701d,2289,835.2219335505044
5e036d8cb63f95603704a0b5,2286,852.3538031978087
5dfce7b5cc9ede7610ec017e,2291,955.3273948106623
5e1aeeb4b63f9560371d34b1,2291,1134.1833204312024
5c1105b6e0008d16c8491362,1661,1152.1605764204398
5e0b290fb63f9560370c4527,2269,1148.7461864341003
5c35715534299b1d1ec18281,1697,1174.4054521109888
5e0c3210b63f9560370d6491,1118,1120.5666538983448
5c308c68495f2d4b6f3ea0e6,1788,1271.5051426692114
5df9c1b0cc9ede7610e8e6b2,2284,1070.139441441817
5e0c5d6db63f9560370d9467,1686,1082.989030023643
5e0812dbb63f956037096a5d,2288,1197.219814746099
5e1a92e3b63f9560371cd934,2291,1125.342460802837
5c8117c88365222502178250,1705,2125.79600320214
5973089c85ffde2ccaac94c4,1608,1349.9778656153487
5c2f31f9495f2d4b6f3d9046,1594,515.1303198096598
5e041eb2b63f956037058123,2282,638.1269601665743
5e080708b63f956037095caa,2269,1380.187918469314
5e73339399058b3eced1783a,2343,1423.8564693849323
5e1db182b63f95603720a100,2278,315.79433360706855
5c176ee7bcf3f64c76dd945c,1691,457.8720553031116
5c2097a7bcf3f64c76e40f89,1580,629.9954018940323
5e104956b63f95603711e352,2284,532.159393828939
5c07e043e0008d16c8436df5,1625,1151.4648856395006
5e1c64d5b63f9560371ef315,2275,740.4411908411286
5c060bc4e0008d16c841ef99,1662,746.2993056574298
5e09a33db63f9560370ae2d6,2288,935.0647026522576
5c239258bcf3f64c76e67ca5,1696,883.9796661476101
5e020ca2b63f956037033347,2272,637.2205391587471
5c177cb9bcf3f64c76dd9dd3,1640,690.1757921984852
5c24aa37bcf3f64c76e75b51,1706,955.4779649372882
5e19bdadb63f9560371bf138,2283,972.8848754512322
5c40511534299b1d1ec9007c,1723,1143.384005433798
5e13eaf0b63f95603715ee26,2303,1135.7902239969446
5df0ac06cc9ede7610e02949,2305,397.67093757437857
5e1c24b0b63f9560371eabf6,2275,849.9293169852987
5e022e34b63f9560370351a2,2289,1115.5599974083411
5e1c113fb63f9560371e944b,2268,1204.9437509645343
5c2ec954495f2d4b6f3d1676,1608,716.5164187034367
5c2c2651bcf3f64c76ec55a1,1720,759.2755008124375
5e18a815b63f9560371ab363,2285,1002.8829010037483
5c445c9434299b1d1ecc500d,1664,917.1439101491162
5e06e03cb63f95603708216e,2284,618.4884462413222
5e167f9db63f956037189a23,2304,586.0565452888894
5df7b94ccc9ede7610e6eb0d,2291,797.786541952369
5c2f08fb495f2d4b6f3d427d,1645,978.9635102334488
5fd2211297190c3037b99367,2457,1488.8995424273844
5dff6e0ccc9ede7610ee8110,2287,1984.7480411649506
5dfc3ea9cc9ede7610eb705e,2282,951.4794906296207
5c441e0334299b1d1ecc2a8e,1639,1272.566497824061
5c40a7ff34299b1d1ec95945,1642,741.1777592472889
5df8b095cc9ede7610e7dcb9,2284,1087.4493967828564
5e1a8f0eb63f9560371cd4b7,2271,1024.4195259364462
5c446de034299b1d1ecc5a59,1687,974.2431822358022
5e149491b63f95603716a012,188,1026.1150804365604
5df8885acc9ede7610e7ba1e,2297,583.5351968177072
5e0eff66b63f9560371092e3,2328,1124.9517822331993
5c12125de0008d16c849d42a,1660,1093.2221132326729
5c33476634299b1d1ec00380,1664,1130.2927082008532
5df874d3cc9ede7610e7aacd,2288,1060.8123210844567
5e1c0a0bb63f9560371e8b5c,2266,1043.6973092454864
5c1f0de4bcf3f64c76e2de9a,1688,1901.8310734261945
5c442ea834299b1d1ecc3587,1621,1165.6393040162077
5c2f0ea9495f2d4b6f3d469f,1678,1048.6695662123166
5c4507e734299b1d1eccd253,1641,710.1933904577561
5dfa6135cc9ede7610e98e6c,2280,400.2430612722226
5dfc5699cc9ede7610eb82b5,2280,1124.1861237783849
5c2ece95495f2d4b6f3d1abb,1697,1084.9618655344402
5c38485834299b1d1ec39959,1659,811.5588142880874
5e1afb5db63f9560371d4227,2281,987.2910506719288
5e145364b63f956037165731,2286,960.2386582238361
5c06971ce0008d16c8425e73,1675,1235.0716628382472
5c0e6dcae0008d16c847490e,1633,1224.2204388468404
5e00599fcc9ede7610ef4191,2280,1221.839419423045
5c374dec34299b1d1ec2ba56,1607,1106.586402034747
5c447cda34299b1d1ecc64f0,1687,1181.6067733190916
5bf669c43461b86936620006,1662,1122.4462776917799
5e193dc7b63f9560371b73e2,2284,1096.939790563641
5e18966cb63f9560371aa039,2274,1066.3194253938843
5e148a88b63f9560371693d4,2285,1223.9257105022075
5c3ef80b34299b1d1ec81bb3,1642,440.11589256786294
5e0c5a87b63f9560370d90cc,2270,626.385228617011
5dfedefdcc9ede7610edfff3,2278,1143.4674451604856
5c40508334299b1d1ec90018,1660,1173.3515901845533
5e1c4808b63f9560371ed546,2292,1004.9227999866857
5eace7cca96e206b647a5da2,2289,1148.0714655326262
5c2e448d495f2d4b6f3ca3be,1707,1084.1405434919266
5e1d9537b63f956037207c7a,2277,1068.283052582259
5c20ea67bcf3f64c76e44cec,1740,992.7923459270171
5e01b72cb63f95603702e7ef,2275,494.1756496714683
5ed8b0a3a965b906061ce6f0,2272,699.2124050885483
5df308e0cc9ede7610e267dc,2283,927.7748573530694
5c0a3886e0008d16c845031d,1697,959.2633346844331
5c249a9bbcf3f64c76e74ee6,1764,783.8243529649735
5e1ec677b63f95603721fc52,2281,839.1673398766912
5e1d3437b63f956037201187,2316,1402.4007173029438
5e05a1e4b63f95603706f688,2319,1444.7623464594392
5e0ff7f0b63f956037119809,2290,570.079365593461
5c406e6934299b1d1ec91002,4234,854.4480520518476
5c2b37acbcf3f64c76ebed22,1711,1061.5204862363619
5c2f1794495f2d4b6f3d4d51,1696,871.8926782467212
5c271624bcf3f64c76e956c4,1670,826.8847818114123
5c44919334299b1d1ecc72f9,1788,1098.7047545335417
5c307a5d495f2d4b6f3e97ef,1692,1087.0086254428556
5c0a4a2de0008d16c8450b92,1639,941.0717582303806
5e188d4db63f9560371a92c7,2286,1324.5175227147554
5c2f821c495f2d4b6f3dc923,1656,737.7159299098075
5c2f90d8495f2d4b6f3dd5aa,1530,679.8550209082799
5e021c7db63f9560370341e9,2276,535.1709077153876
5e03744cb63f95603704a8d9,2298,743.6629956991433
5e1d721eb63f9560372053de,2276,998.2409070966514
5df59958cc9ede7610e4d90f,2269,780.332845415385
5e1469eab63f956037166e7d,2300,769.0669008119594
5e0489e6b63f95603705e0c7,2284,1015.679305700548
5e1db560b63f95603720a743,2273,1063.2621528872048
5e1a8d0eb63f9560371cd261,2278,1160.3283021552872
